strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,arm,trial
decentralized_greedy,0.3,503332,14,10,400,2701,0.9892632358385783,6.68,23.757584663598447,41.10907747660989,4800.0,0.6423982869379015,38,0.0,0,workload_shift,5
decentralized_greedy,0.3,869100,14,10,400,2885,0.9871750433275563,7.12,16.489577344013455,32.46182362888374,4800.0,0.6276150627615062,43,4.976744186046512,0,workload_shift,6
decentralized_greedy,0.3,997549,14,10,400,2785,0.9877917414721723,6.8775,19.662704878613624,32.748575777059,4800.0,0.6356773937226857,68,0.0,0,workload_shift,7
decentralized_greedy,0.3,185163,14,10,400,2798,0.9899928520371694,6.925,20.561097769382656,35.000325958665115,4800.0,0.6340819022457067,78,0.2,3,workload_shift,8
decentralized_greedy,0.3,353870,14,10,400,2868,0.9884937238493724,7.0875,17.85247865007611,29.36635979454442,4800.0,0.6286836935166994,57,1.2777777777777777,3,workload_shift,9
decentralized_greedy,0.3,795012,14,10,400,2882,0.9899375433726578,7.1325,26.203811878446828,47.44797387672516,4800.0,0.6272050176401411,61,0.0,3,workload_shift,10
decentralized_greedy,0.3,428305,14,10,400,2906,0.9879559532002753,7.1775,17.616713404914545,29.43203323390305,4800.0,0.6257332811888933,59,0.3559322033898305,0,workload_shift,11
decentralized_greedy,0.3,138393,14,10,400,2894,0.9882515549412578,7.15,22.803185467607236,36.976382196013205,4800.0,0.6266318537859008,71,0.0,0,workload_shift,12
decentralized_greedy,0.3,16624,14,10,400,2829,0.9883351007423118,6.99,17.920232603971606,32.111746534948836,4800.0,0.631911532385466,59,0.8448275862068966,1,workload_shift,13
decentralized_greedy,0.3,656164,14,10,400,2783,0.9852676967301474,6.855,21.218194254672873,41.34087795097925,4800.0,0.6364359586316627,55,0.16666666666666666,0,workload_shift,14
decentralized_greedy,0.3,188823,14,10,400,2886,0.9726264726264726,7.0175,20.02664259815478,33.77224008833455,4800.0,0.6309977652162482,54,0.0,3,workload_shift,15
