strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
decentralized_greedy,0.05,890087,14,10,400,2863,0.6866922808243102,4.915,16.87057882006273,30.84573995710558,3932.0,0.6666666666666666,15,0.0,0,12
antsql,0.05,890087,14,10,400,2863,0.8033531260915124,5.75,27.171472261141627,50.31265019950626,990.0,0.3009118541033435,15,0.0,0,12
static_centralized,0.05,892573,14,10,400,2682,0.8922445935868755,5.9825,13.407361426582936,22.161156439538367,0.0,0.0,15,0.0,0,13
adaptive_centralized,0.05,892573,14,10,400,2682,0.9739000745712155,6.53,13.1088612015505,22.161156439538367,266.0,0.09242529534398888,15,0.0,0,13
decentralized_greedy,0.05,892573,14,10,400,2682,0.8956002982848621,6.005,13.434092983852118,22.161156439538367,4676.0,0.6606385984741452,15,0.0,0,13
antsql,0.05,892573,14,10,400,2682,0.9757643549589858,6.5425,23.391294740486874,49.26029932341148,966.0,0.26960647502093216,15,0.4,0,13
static_centralized,0.05,380437,14,10,400,2842,0.6038001407459536,4.29,13.048760706911745,22.99669458207002,0.0,0.0,16,0.25,0,14
adaptive_centralized,0.05,380437,14,10,400,2842,0.8205489092188599,5.83,16.339254454174743,29.802545803363827,266.0,0.10238645111624327,16,0.0,1,14
decentralized_greedy,0.05,380437,14,10,400,2842,0.6220971147079521,4.42,13.071815064317812,22.99669458207002,3621.0,0.6719242902208202,16,0.26666666666666666,1,14
antsql,0.05,380437,14,10,400,2842,0.7758620689655172,5.5125,27.050107102313387,57.57087608231821,751.0,0.2540595399188092,16,0.0,0,14
static_centralized,0.05,531613,14,10,400,2726,0.6808510638297872,4.64,21.70858687034767,37.74850947275431,0.0,0.0,14,0.0,0,15
adaptive_centralized,0.05,531613,14,10,400,2726,0.8437270726338958,5.75,23.639974821242713,39.19650224511208,266.0,0.10366328916601715,14,0.0,0,15
decentralized_greedy,0.05,531613,14,10,400,2726,0.6911225238444607,4.71,21.606795652553686,37.579858710295944,3739.0,0.6649475369020096,14,0.0,0,15
antsql,0.05,531613,14,10,400,2726,0.8338224504768892,5.6825,40.51668511335942,82.62527477896637,775.0,0.25426509186351703,14,0.0,0,15
static_centralized,0.05,751302,14,10,400,2818,0.7650816181689141,5.39,17.140658700315228,29.520058444881197,0.0,0.0,12,0.0,0,16
adaptive_centralized,0.05,751302,14,10,400,2818,0.9084457061745919,6.4,17.565923925518586,29.520058444881197,266.0,0.09412597310686482,12,0.0,0,16
decentralized_greedy,0.05,751302,14,10,400,2818,0.8626685592618879,6.0775,17.400775581831184,29.520058444881197,4052.0,0.6250192811969767,12,2.0,0,16
antsql,0.05,751302,14,10,400,2818,0.9339957416607523,6.58,33.69376515995485,63.37109614845928,765.0,0.225198704739476,12,0.0,1,16
static_centralized,0.05,505862,14,10,400,2861,0.6745893044390073,4.825,18.108343550184916,32.32050144070211,0.0,0.0,17,0.058823529411764705,0,17
adaptive_centralized,0.05,505862,14,10,400,2861,0.9252009786787836,6.6175,19.93444445783263,34.413105841402036,266.0,0.09131479574322005,17,0.0,0,17
decentralized_greedy,0.05,505862,14,10,400,2861,0.7368053128276826,5.27,18.32017213829761,33.64260615585344,4276.0,0.6697994987468672,17,0.4117647058823529,0,17
antsql,0.05,505862,14,10,400,2861,0.9391821041593849,6.7175,32.515487126217685,67.3870830879023,893.0,0.2494413407821229,17,0.0,0,17
static_centralized,0.05,725888,14,10,400,2734,0.8397951719092904,5.74,26.0377741370731,51.49439119797909,0.0,0.0,16,0.0,0,18
adaptive_centralized,0.05,725888,14,10,400,2734,0.8822238478419897,6.03,26.303619696594737,48.39889910594018,266.0,0.09932785660941,16,0.0,0,18
