strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,max_query_hops,trial
adaptive_centralized,0.2,392568,14,10,400,2777,0.3691033489377026,2.5625,19.54373148385636,40.09733657108642,266.0,0.20604182804027885,62,1.5833333333333333,2,10,4
antsql,0.2,392568,14,10,400,2777,0.44760532949225784,3.1075,29.178881375109995,65.4060782617698,616.0,0.33136094674556216,62,3.5483870967741935,0,10,4
adaptive_centralized,0.2,392568,14,10,400,2777,0.3691033489377026,2.5625,19.54373148385636,40.09733657108642,266.0,0.20604182804027885,62,1.5833333333333333,2,15,4
antsql,0.2,392568,14,10,400,2777,0.45516744688512784,3.16,27.920427889744868,64.23675634978031,539.0,0.29894620077648365,62,2.3620689655172415,4,15,4
adaptive_centralized,0.2,392568,14,10,400,2777,0.3691033489377026,2.5625,19.54373148385636,40.09733657108642,266.0,0.20604182804027885,62,1.5833333333333333,2,25,4
antsql,0.2,392568,14,10,400,2777,0.45516744688512784,3.16,27.920427889744868,64.23675634978031,539.0,0.29894620077648365,62,2.3620689655172415,4,25,4
adaptive_centralized,0.2,799541,14,10,400,2754,0.4150326797385621,2.8575,14.836322398919627,29.256507923723426,266.0,0.18878637331440737,66,0.7121212121212122,0,4,5
antsql,0.2,799541,14,10,400,2754,0.33405954974582425,2.3,14.58652911010369,31.873094090682642,439.0,0.32303164091243564,66,1.4307692307692308,1,4,5
adaptive_centralized,0.2,799541,14,10,400,2754,0.44371822803195354,3.055,15.887965609549529,30.393068010307225,266.0,0.17876344086021506,66,2.1515151515151514,0,6,5
antsql,0.2,799541,14,10,400,2754,0.4121278140885984,2.8375,20.91123353042057,43.989469948207415,504.0,0.3075045759609518,66,3.893939393939394,0,6,5
adaptive_centralized,0.2,799541,14,10,400,2754,0.44371822803195354,3.055,15.887965609549529,30.393068010307225,266.0,0.17876344086021506,66,2.1515151515151514,0,8,5
antsql,0.2,799541,14,10,400,2754,0.4506172839506173,3.1025,22.118351345823353,45.733877891891595,487.0,0.2818287037037037,66,2.1363636363636362,0,8,5
adaptive_centralized,0.2,799541,14,10,400,2754,0.44371822803195354,3.055,15.887965609549529,30.393068010307225,266.0,0.17876344086021506,66,2.1515151515151514,0,10,5
antsql,0.2,799541,14,10,400,2754,0.44371822803195354,3.055,23.707345825405728,52.3207512226776,581.0,0.32224070992789794,66,3.227272727272727,0,10,5
adaptive_centralized,0.2,799541,14,10,400,2754,0.44371822803195354,3.055,15.887965609549529,30.393068010307225,266.0,0.17876344086021506,66,2.1515151515151514,0,15,5
antsql,0.2,799541,14,10,400,2754,0.44153957879448075,3.04,24.075623100527494,52.538475227240404,558.0,0.314543404735062,66,5.166666666666667,0,15,5
adaptive_centralized,0.2,799541,14,10,400,2754,0.44371822803195354,3.055,15.887965609549529,30.393068010307225,266.0,0.17876344086021506,66,2.1515151515151514,0,25,5
antsql,0.2,799541,14,10,400,2754,0.44153957879448075,3.04,24.075623100527494,52.538475227240404,558.0,0.314543404735062,66,5.166666666666667,0,25,5
adaptive_centralized,0.2,442918,14,10,400,2769,0.7533405561574575,5.215,16.370882536594163,30.606036309699014,266.0,0.1130952380952381,49,0.24489795918367346,0,4,6
